Arf79F	CG33303	Protein	Protein	PPI	0.0	0	1
Traf-like	CG13622	Protein	Protein	PPI	0.0	0	1
Rab2	Tapdelta	Protein	Protein	PPI	0.0	0	1
Adh	N	Protein	Protein	PPI	0.0	0	1
CG15100	CG30185	Protein	Protein	PPI	0.0	0	1
CycK	CG10147	Protein	Protein	PPI	0.0	0	1
ApepP	CG3107	Protein	Protein	PPI	0.0	0	1
CG5525	MRP	Protein	Protein	PPI	0.0	0	1
Sucb	CG14482	Protein	Protein	PPI	0.0	0	1
gro	His3:CG33824	Protein	Protein	PPI	0.0	0	1
CG9975	TwdlM	Protein	Protein	PPI	0.0	0	1
hth	mars	Protein	Protein	PPI	0.0	0	1
skd	MED16	Protein	Protein	PPI	0.0	0	1
RpLP1	CG12126	Protein	Protein	PPI	0.0	0	1
CG9752	CG10425	Protein	Protein	PPI	0.0	0	1
Mec2	Kr-h2	Protein	Protein	PPI	0.0	0	1
CG11164	Sgt	Protein	Protein	PPI	0.0	0	1
pre-mod(mdg4)-P	CG3011	Protein	Protein	PPI	0.0	0	1
OstDelta	Ca-P60A	Protein	Protein	PPI	0.0	0	1
pall	m-cup	Protein	Protein	PPI	0.0	0	1
Inx7	CG4835	Protein	Protein	PPI	0.0	0	1
Nc	CG7737	Protein	Protein	PPI	0.0	0	1
wal	Cyp12d1-p	Protein	Protein	PPI	0.0	0	1
CG12985	CG17564	Protein	Protein	PPI	0.0	0	1
bsh	ninaE	Protein	Protein	PPI	0.0	0	1
Nf-YC	26-29-p	Protein	Protein	PPI	0.0	0	1
Rlip	AP-2alpha	Protein	Protein	PPI	0.0	0	1
s-cup	MCPH1	Protein	Protein	PPI	0.0	0	1
PCNA	scu	Protein	Protein	PPI	0.0	0	1
cv	brk	Protein	Protein	PPI	0.0	0	1
Ntmt	Sec24AB	Protein	Protein	PPI	0.0	0	1
CG32767	nub	Protein	Protein	PPI	0.0	0	1
rdgB	CG1513	Protein	Protein	PPI	0.0	0	1
Poxm	loj	Protein	Protein	PPI	0.0	0	1
Ubx	CG13474	Protein	Protein	PPI	0.0	0	1
