#UniProt1	UniProt2	PubMedIDs	InteractionType	Directedness
Q8SX22	P04412	22110040	Post-translational_modification	PPI_directed
Q6NN53	Q9VM64	22110040	Post-translational_modification	PPI_directed
Q8INB9	P91656	23331499;11943559	Interaction_between_pathway_members	PPI_directed
P09615	Q9V407	10457025;12781135;21071413	interaction_from_external_databases	PPI_undirected
Q8IPW2	P04412	22110040	Post-translational_modification	PPI_directed
G4LU41	P04412	22110040	Post-translational_modification	PPI_directed
Q8T030	Q9VVI3	22110040	Post-translational_modification	PPI_directed
Q8IMC5	Q00805	22110040	Post-translational_modification	PPI_directed
A4V402	P04412	22110040	Post-translational_modification	PPI_directed
Q9VG38	P19538	23331499;14605208;11090136;15710747;21036869;14611647;10825151;21071413	Interaction_between_pathway_members;interaction_from_external_databases	PPI_directed;PPI_undirected
Q02308	P18168	8756291;21071413	interaction_from_external_databases	PPI_undirected
Q9VYN1	Q01083	22110040	Post-translational_modification	PPI_directed
G2J5W6	Q00805	22110040	Post-translational_modification	PPI_directed
Q9VGF9	Q08012	22110040	Post-translational_modification	PPI_directed
Q0E8L9	Q9VVI3	22110040	Post-translational_modification	PPI_directed
A5JLB7	Q9VVI3	22110040	Post-translational_modification	PPI_directed
D5AEN4	Q9VM64	22110040	Post-translational_modification	PPI_directed
Q8MT38	Q00805	22110040	Post-translational_modification	PPI_directed
Q8SX33	Q00805	22110040	Post-translational_modification	PPI_directed
Q9VXG5	P04412	22110040	Post-translational_modification	PPI_directed
A1Z9K8	P04412	22110040	Post-translational_modification	PPI_directed
C5I7R2	Q00805	22110040	Post-translational_modification	PPI_directed
E1JJH9	Q08012	22110040	Post-translational_modification	PPI_directed
A4V3W2	P29503	22110040	Post-translational_modification	PPI_directed
Q7YU85	Q9VVI3	22110040	Post-translational_modification	PPI_directed
P49657	Q01083	22110040	Post-translational_modification	PPI_directed
B7Z0W0	Q01083	22110040	Post-translational_modification	PPI_directed
Q9V3Y8	Q9VVI3	22110040	Post-translational_modification	PPI_directed
Q7KSD3	P29503	22110040	Post-translational_modification	PPI_directed
Q9VRR9	Q08012	22110040	Post-translational_modification	PPI_directed
Q0E971	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
P12370	P18431	11955435;10049571;21071413	interaction_from_external_databases	PPI_undirected
Q9V7W9	P04412	22110040	Post-translational_modification	PPI_directed
A1Z870	Q9VVI3	22110040	Post-translational_modification	PPI_directed
Q9XYM0	P29503	22110040	Post-translational_modification	PPI_directed
Q9VAR0	Q00805	22110040	Post-translational_modification	PPI_directed
Q7KV33	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
Q1RKV9	Q9VVI3	22110040	Post-translational_modification	PPI_directed
Q0E915	Q08012	22110040	Post-translational_modification	PPI_directed
Q95RR8	Q01083	22110040	Post-translational_modification	PPI_directed
Q7JQ39	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
O61618	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
A1ZA68	Q00805	22110040	Post-translational_modification	PPI_directed
E1JIS7	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
Q8IPP4	P04412	22110040	Post-translational_modification	PPI_directed
Q95RW2	Q08012	22110040	Post-translational_modification	PPI_directed
P29503	Q9U4W9	14605208;21036869	interaction_from_external_databases	PPI_undirected
P09615	Q961D9	11955446;21071413	interaction_from_external_databases	PPI_undirected
Q02308	Q59DZ3	9428413;21071413	interaction_from_external_databases	PPI_undirected
Q0E973	Q01083	22110040	Post-translational_modification	PPI_directed
P00528	Q01083	22110040	Post-translational_modification	PPI_directed
Q9VXE5	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
H0UST1	Q01083	22110040	Post-translational_modification	PPI_directed
Q59DW8	Q00805	22110040	Post-translational_modification	PPI_directed
O16844	P12370	23331499;15691767;21036869	Interaction_between_pathway_members;Directed_protein-protein_interaction	PPI_directed;PPI_predicted_as_directed
Q9VGK8	Q01083	22110040	Post-translational_modification	PPI_directed
H1ZY83	Q00805	22110040	Post-translational_modification	PPI_directed
A8E766	P04412	22110040	Post-translational_modification	PPI_directed
Q95T82	Q08012	22110040	Post-translational_modification	PPI_directed
P22265	P09615	12183379;21071413	interaction_from_external_databases	PPI_undirected
Q86P98	P29503	22110040	Post-translational_modification	PPI_directed
Q0E915	P29503	22110040	Post-translational_modification	PPI_directed
C3KGL5	Q9VVI3	22110040	Post-translational_modification	PPI_directed
Q8T0L6	P29503	22110040	Post-translational_modification	PPI_directed
Q8MQJ7	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
P00528	Q9VVI3	22110040	Post-translational_modification	PPI_directed
P54367	P04412	22110040	Post-translational_modification	PPI_directed
Q6NP56	Q01083	22110040	Post-translational_modification	PPI_directed
P54367	Q9VM64	22110040	Post-translational_modification	PPI_directed
Q7KV90	P18289	10469646;9694801;21071413	interaction_from_external_databases	PPI_undirected
Q6NNW8	Q9VM64	22110040	Post-translational_modification	PPI_directed
Q4V5D7	P04412	22110040	Post-translational_modification	PPI_directed
P49657	Q08012	22110040	Post-translational_modification	PPI_directed
Q9VT57	Q01083	22110040	Post-translational_modification	PPI_directed
A1Z869	Q9VVI3	22110040	Post-translational_modification	PPI_directed
Q9NHP1	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
Q02308	O46036	23331499;21036869;14605208;16287856;12154126;21071413	Interaction_between_pathway_members	PPI_directed
Q02308	P22815	12049762;21071413	interaction_from_external_databases	PPI_undirected
Q29QP1	Q01083	22110040	Post-translational_modification	PPI_directed
P11346	P04412	12750336;21071413;11063697;11729151	interaction_from_external_databases	PPI_undirected
Q9V3Q6	Q7KV90	11287182;21071413	interaction_from_external_databases	PPI_undirected
C8VUZ0	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
Q0E9Q5	P29503	22110040	Post-translational_modification	PPI_directed
O61444	P29503	22110040	Post-translational_modification	PPI_directed
Q23994	P42003	17507407;23331499	Interaction_between_pathway_members	PPI_directed
Q9VJC2	Q9VVI3	22110040	Post-translational_modification	PPI_directed
Q9VND3	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
A9YH79	P04412	22110040	Post-translational_modification	PPI_directed
Q95T82	Q01083	22110040	Post-translational_modification	PPI_directed
E2QD82	Q01083	22110040	Post-translational_modification	PPI_directed
Q960H0	Q01083	22110040	Post-translational_modification	PPI_directed
Q9VEX2	Q00805	22110040	Post-translational_modification	PPI_directed
Q95TG3	P04412	22110040	Post-translational_modification	PPI_directed
Q03042	P29503	22110040	Post-translational_modification	PPI_directed
Q86NW3	P04412	22110040	Post-translational_modification	PPI_directed
Q9GTQ8	P04412	22110040	Post-translational_modification	PPI_directed
Q9VCV0	P04412	22110040	Post-translational_modification	PPI_directed
Q9VE37	Q9VVI3	22110040	Post-translational_modification	PPI_directed
Q8IMC6	Q08012	22110040	Post-translational_modification	PPI_directed
Q8T0L6	Q08012	22110040	Post-translational_modification	PPI_directed
O17049	Q08012	22110040	Post-translational_modification	PPI_directed
P91926	P16554	23331499;21036869;12194853	Interaction_between_pathway_members;Directed_protein-protein_interaction	PPI_directed;PPI_predicted_as_directed
Q7JQ36	Q7KTP1	21036869;21071413	Directed_protein-protein_interaction	PPI_predicted_as_directed
Q4QPP7	Q9VM64	22110040	Post-translational_modification	PPI_directed
A1ZAY1	Q9VVI3	22110040	Post-translational_modification	PPI_directed
A4V0X0	P04412	22110040	Post-translational_modification	PPI_directed
C5I7A2	Q00805	22110040	Post-translational_modification	PPI_directed
Q9UAC5	Q9VVI3	22110040	Post-translational_modification	PPI_directed
