#UniProt1	UniProt2	PubMedIDs	InteractionType	Directedness
P04412	Q08012	23331499;12128212;21036869	Interaction_between_pathway_members;Directed_protein-protein_interaction	PPI_directed;PPI_predicted_as_directed
Q9V407	P36872	21036869	Directed_protein-protein_interaction	PPI_predicted_as_directed
A4V3J9	Q9VVI3	22110040	Post-translational_modification	PPI_directed
Q8T9D6	Q08012	22110040	Post-translational_modification	PPI_directed
Q95SW3	Q9VVI3	22110040	Post-translational_modification	PPI_directed
Q9W002	Q00805	22110040	Post-translational_modification	PPI_directed
H1ZYB7	Q08012	22110040	Post-translational_modification	PPI_directed
A1ZA05	Q08012	22110040	Post-translational_modification	PPI_directed
Q9V8V8	Q08012	22110040	Post-translational_modification	PPI_directed
A4V3G8	P04412	22110040	Post-translational_modification	PPI_directed
C4JC89	Q9VVI3	22110040	Post-translational_modification	PPI_directed
Q9VSU8	Q9VVI3	22110040	Post-translational_modification	PPI_directed
A4IJ82	Q9VM64	22110040	Post-translational_modification	PPI_directed
Q6NN53	P29503	22110040	Post-translational_modification	PPI_directed
D3DMJ2	Q9VM64	22110040	Post-translational_modification	PPI_directed
Q9VMY8	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
