#FlyBase1	FlyBase2	PubMedIDs	InteractionType	Directedness
FBgn0261873	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0038167	FBgn0259174	22110040	Post-translational_modification	PPI_directed
FBgn0011739	FBgn0002932	22110040	Post-translational_modification	PPI_directed
FBgn0003444	FBgn0004644	8700230;21036869	interaction_from_external_databases	PPI_undirected
FBgn0020510	FBgn0003557	22110040	Post-translational_modification	PPI_directed
FBgn0030018	FBgn0010303	23331499;11825878	Interaction_between_pathway_members	PPI_directed
FBgn0004644	FBgn0000273	10769240;7854454;21071413	interaction_from_external_databases	PPI_undirected
FBgn0262866	FBgn0031872	22110040	Post-translational_modification	PPI_directed
FBgn0003124	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0262866	FBgn0002932	22110040	Post-translational_modification	PPI_directed
FBgn0260934	FBgn0003557	22110040	Post-translational_modification	PPI_directed
FBgn0027504	FBgn0005672	22110040	Post-translational_modification	PPI_directed
