#FlyBase1	FlyBase2	PubMedIDs	InteractionType	Directedness
FBgn0030716	FBgn0259174	22110040	Post-translational_modification	PPI_directed
FBgn0026063	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0000173	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0037339	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0003371	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0004569	FBgn0003984	10588875;21071413	interaction_from_external_databases	PPI_undirected
FBgn0003733	FBgn0004638	12750336;23331499;8384582;21071413	Interaction_between_pathway_members	PPI_directed
FBgn0004635	FBgn0005672	23331499;10652272;15616571;11672524;11672525;7833286;10570464;10331978;21036869;9814706;21071413	Interaction_between_pathway_members;interaction_from_external_databases	PPI_directed;PPI_undirected
FBgn0004009	FBgn0026597	10457025;12781135;21071413	interaction_from_external_databases	PPI_undirected
FBgn0004837	FBgn0003984	9383058;21071413	interaction_from_external_databases	PPI_undirected
FBgn0016920	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0259734	FBgn0259174	22110040	Post-translational_modification	PPI_directed
FBgn0037098	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0028360	FBgn0004638	22110040	Post-translational_modification	PPI_directed
FBgn0004569	FBgn0005672	23331499;16123311;21036869;15329724	Interaction_between_pathway_members;Directed_protein-protein_interaction	PPI_directed;PPI_predicted_as_directed
FBgn0011739	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0032187	FBgn0031872	22110040	Post-translational_modification	PPI_directed
FBgn0000017	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0262617	FBgn0259174	22110040	Post-translational_modification	PPI_directed
FBgn0003969	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0003326	FBgn0004644	8252628;12479809;21036869;21071413	interaction_from_external_databases	PPI_undirected
FBgn0016126	FBgn0259174	22110040	Post-translational_modification	PPI_directed
FBgn0015321	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0014388	FBgn0003733	10089881;22036573;21036869;21071413	interaction_from_external_databases	PPI_undirected
FBgn0000117	FBgn0003866	23331499;11784100;10545232;9707400;10924470;12183379;21036869;10205174;21071413	Interaction_between_pathway_members;interaction_from_external_databases	PPI_directed;PPI_undirected
FBgn0032246	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0001139	FBgn0001169	10973955;23331499;9383058;12049762;21071413;12154126;21036869	Interaction_between_pathway_members	PPI_directed
FBgn0262081	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0004635	FBgn0014388	10089881;21071413	interaction_from_external_databases	PPI_undirected
FBgn0005640	FBgn0003557	22110040	Post-translational_modification	PPI_directed
FBgn0002643	FBgn0004647	10545243;11390662;23331499;2338245;9917364;8913755;12781136;21071413	Interaction_between_pathway_members;interaction_from_external_databases	PPI_directed;PPI_undirected
FBgn0004647	FBgn0010269	21071413	Directed_protein-protein_interaction	PPI_predicted_as_directed
FBgn0030629	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0030384	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0085432	FBgn0000117	9751710;14605208;9783586;10924470;11258709;17113388;21036869;17113272;11532957;21071413	interaction_from_external_databases	PPI_undirected
FBgn0264492	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0024326	FBgn0002932	22110040	Post-translational_modification	PPI_directed
FBgn0004647	FBgn0259212	17183697;7698650;21036869;21071413	interaction_from_external_databases	PPI_undirected
FBgn0034274	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0003502	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0261516	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0000044	FBgn0003557	22110040	Post-translational_modification	PPI_directed
FBgn0015589	FBgn0003557	22110040	Post-translational_modification	PPI_directed
FBgn0004635	FBgn0052179	21036869	Directed_protein-protein_interaction	PPI_predicted_as_directed
FBgn0011591	FBgn0004647	21036869;11533660;9834035;12421697;21071413;10683181;10821276	interaction_from_external_databases	PPI_undirected
FBgn0016696	FBgn0259174	22110040	Post-translational_modification	PPI_directed
FBgn0000117	FBgn0031872	22110040	Post-translational_modification	PPI_directed
FBgn0262617	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0040298	FBgn0004638	22110040	Post-translational_modification	PPI_directed
FBgn0086906	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0263110	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0004638	FBgn0003557	22110040	Post-translational_modification	PPI_directed
FBgn0004009	FBgn0000273	7867063;21071413	interaction_from_external_databases	PPI_undirected
FBgn0020496	FBgn0001169	14605208;21036869;12154126;21071413	interaction_from_external_databases	PPI_undirected
FBgn0261985	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0021818	FBgn0015402	21036869	Directed_protein-protein_interaction	PPI_predicted_as_directed
